,id,text,author,category
47,47718,"Much good art got made while money ruled I like a lot of it, and hardship and poverty aren't virtues. The good news is that, since almost no one will be selling art, artists - especially emerging ones - won't have to think about turning out a consistent style or creating a brand. They'll be able to experiment as much as they want.",Jerry Saltz,money
48,39721,Bobby Fischer has an enormous knowledge of chess and his familiarity with the chess literature of the USSR is immense.,Boris Spassky,knowledge
49,27092,Our work is before us. It cannot be passed to future legislatures and must not be passed to future generations. May we boldly seize the moment with singular unity. And may we build a Texas of unlimited possibility.,Rick Perry,future
50,47485,A liberal is a man who is willing to spend somebody else's money.,Carter Glass,money
51,54583,"For whatever reason, people, including very well-educated people or people otherwise interested in reading, do not read poetry.",Paul Muldoon,poetry
52,72260,"I remember an article, I can't recall who by, it was after the fall of the Berlin Wall, which said that now the Wall was down, there could be no more class war. Only someone with money could ever say such a thing.",Claude Chabrol,war
53,75361,"If you can laugh together, you can work together.",Robert Orben,work
54,29152,The test of good manners is to be patient with the bad ones.,Solomon Ibn Gabirol,good
55,29690,Probably the worst time in a person's life is when they have to kill a family member because they are the devil. But otherwise it's been a pretty good day.,Emo Philips,good
56,24405,President Obama orders religious organizations to violate their conscience. I will defend religious liberty and overturn regulations that trample on our first freedom.,Mitt Romney,freedom
57,70889,The truth of things is the chief nutriment of superior intellects.,Leonardo da Vinci,truth
58,14903,"I keep my diet simple by sticking to mostly fruits and vegetables all day and then having whatever I want for dinner. I end up making healthy choices, like sushi or grilled fish, because I feel so good from eating well.",Jennifer Morrison,diet
59,5990,"I think Islam has been hijacked by the idea that all Muslims are terrorists that Islam is about hate, about war, about jihad - I think that hijacks the spirituality and beauty that exists within Islam. I believe in allowing Islam to be seen in context and in its entirety and being judged on what it really is, not what you think it is.",Aasif Mandvi,beauty
60,12792,"My dad was great. He was very droll, very dry.",Albert Finney,dad
61,27386,"I can count all the ways in which being a mother has enriched my understanding of the world, of character, my sense of the future and my attachment to it. I can't imagine what kind of writer I'd be if I didn't have my kids.",Barbara Kingsolver,future
62,52569,"Sometimes they are a matter of luck the photographer could not expect or hope for them. Sometimes they are a matter of patience, waiting for an effect to be repeated that he has seen and lost or for one that he anticipates.",Bill Brandt,patience
63,39415,It is not the quantity but the quality of knowledge which determines the mind's dignity.,William Ellery Channing,knowledge
64,20597,"I'm getting older now, so I should think about a family, but certainly not tomorrow.",Christina Ricci,family
65,14642,"By the fourth grade, I graduated to an erector set and spent many happy hours constructing devices of unknown purpose where the main design criterion was to maximize the number of moving parts and overall size.",Steven Chu,design
66,9648,"For the last 20 years of my life, I've had the mantra to do amazing parts with amazing people in amazing projects, so I'm attracted to good story, writing and character and good people. That's what I'm always searching for and I don't think that's ever going to change.",John Hawkes,change
67,31789,I am a leader. Leaders always get heat. They're always going against the grain. Jimi Hendrix got heat Bob Marley got heat Miles Davis got heat. Every great artist got heat. Heat means you're doing something right.,Ziggy Marley,great
68,17018,"There should be more attention paid to scientific research in the ecology area, and I think that such attention to proper environmental concerns would make the public feel much better about it.",Thomas R. Cech,environmental
69,47492,"It will be a great day when our schools have all the money they need, and our air force has to have a bake-sale to buy a bomber.",Robert Fulghum,money
70,67880,"I remember the first time I saw the 'Smells Like Teen Spirit' video. I will never forget that day. I just wanted to see Kurt Cobain's face. I had a feeling he was very cute. But, I couldn't see his face. When I finally did see him, he was even cuter than I imagined!",Shakira,teen
71,17308,People grow through experience if they meet life honestly and courageously. This is how character is built.,Eleanor Roosevelt,experience
72,60038,"I always watched movies and rooted for the bad guys, you know? I've always been that kind of guy. I still hold some respect for criminals that are good at their jobs.",Justin Townes Earle,respect
73,26819,"I try to learn from the past, but I plan for the future by focusing exclusively on the present. That's were the fun is.",Donald Trump,future
74,5313,"Celibacy is not just a matter of not having sex. It is a way of admiring a person for their humanity, maybe even for their beauty.",Timothy Radcliffe,beauty
75,57179,"It's okay for Christians throughout centuries to exterminate races and for their priests to rape little kids throughout decades, but trying to give the people the power to think and be individual, that's evil?",Glenn Danzig,power
76,3226,"If either player abandon the game by quitting the table in anger, or in an otherwise offensive manner or by momentarily resigning the game or refuses to abide by the decision of the Umpire, the game must be scored against him.",Howard Staunton,anger
77,43439,Adapt yourself to the things among which your lot has been cast and love sincerely the fellow creatures with whom destiny has ordained that you shall live.,Marcus Aurelius,love
78,24993,Freedom's just another word for nothing left to lose.,Kris Kristofferson,freedom
79,42978,Absence - that common cure of love.,Lord Byron,love
80,62505,"I don't mind a little Sturm und Drang. When I was doing 'Riding in Cars With Boys,' I wouldn't smile at anybody, because my character, Bev, was angry at the world. I'm the opposite. Inside my head I'd be like, God, I'll explain to you at the end of shooting that I'm not this person.",Drew Barrymore,smile
81,65833,To do a common thing uncommonly well brings success.,Henry J. Heinz,success
82,50572,"Inspiration for my music just comes from, you know, my life experiences.",Avril Lavigne,music
83,62327,"Nevertheless, as is a frequent occurrence in science, a general hypothesis was constructed from a few specific instances of a phenomenon.",Sidney Altman,science
84,50560,I was doing these performance art pop music pieces in the city. And they were a bit on the eccentric side I suppose. So people started to call me Gaga after the Queen song 'Radio Gaga.',Lady Gaga,music
85,73978,"I'm not particularly a feminist, but if you get women off the animal cycle of reproduction and give them some say in how many children they'll have, immediately the floor will rise.",Christopher Hitchens,women
86,62444,"It is impossible to persuade a man who does not disagree, but smiles.",Muriel Spark,smile
87,65058,"We need to reach that happy stage of our development when differences and diversity are not seen as sources of division and distrust, but of strength and inspiration.",Josefa Iloilo,strength
88,23516,"Basically, there are two things we know: Everybody has less time, and the general public is demanding better food - better in terms of quality and better in terms of flavor.",Bobby Flay,food
89,36872,Comedy has to be based on truth. You take the truth and you put a little curlicue at the end.,Sid Caesar,humor
90,53215,"Only the person who has experienced light and darkness, war and peace, rise and fall, only that person has truly experienced life.",Stefan Zweig,peace
91,46070,I once heard two ladies going on and on about the pains of childbirth and how men don't seem to know what real pain is. I asked if either of them ever got themselves caught in a zipper.,Emo Philips,men
92,70927,In everything truth surpasses the imitation and copy.,Marcus Tullius Cicero,truth
93,69521,An unexpected benefit of my career in biochemistry has been travel.,Paul D. Boyer,travel
94,56219,"I am blood type O-positive, which I remember by staying 'optimistic positive.'",Michael Weatherly,positive
95,17385,I don't believe people are looking for the meaning of life as much as they are looking for the experience of being alive.,Joseph Campbell,experience
96,42224,"Before success comes in any man's life, he's sure to meet with much temporary defeat and, perhaps some failures. When defeat overtakes a man, the easiest and the most logical thing to do is to quit. That's exactly what the majority of men do.",Napoleon Hill,life
97,69470,Travel teaches as much as books.,Youssou N'Dour,travel
98,5010,"I do support a sex-positive attitude for young people. Use condoms, that's important. I love the idea that promiscuity can be healthy but it's got some dodgy crevasses. Ooh, that's a bad reference! But it's got some dangerous cavities there. You know what I'm saying.",Rachael Taylor,attitude
99,38741,"Dissents are appeals to the brooding spirit of the law, to the intelligence of another day.",Charles Evans Hughes,intelligence
100,17700,"Before people complain of the obscurity of modern poetry, they should first examine their consciences and ask themselves with how many people and on how many occasions they have genuinely and profoundly shared some experience with another.",W. H. Auden,experience
101,51945,Man is the miracle in nature. God Is the One Miracle to man.,Jean Ingelow,nature
102,3850,"Even in literature and art, no man who bothers about originality will ever be original: whereas if you simply try to tell the truth (without caring twopence how often it has been told before) you will, nine times out of ten, become original without ever having noticed it.",C. S. Lewis,art
103,25048,"That's part of American greatness, is discrimination. Yes, sir. Inequality, I think, breeds freedom and gives a man opportunity.",Lester Maddox,freedom
104,61766,"Nature is not simply a technical or economical resource, and human beings are not mere numbers. To suggest that one can somehow align all the squabbling institutions of science, environmental management, government and diplomacy in an alliance of convenience to regulate the global climate seems to me optimistic.",James Buchan,science
105,65905,"Philanthropy is the thing that I am really excited about, and having success means I can do more.",will.i.am,success
106,29032,Many a man fails as an original thinker simply because his memory it too good.,Friedrich Nietzsche,good
107,34935,"On the battlefield, the military pledges to leave no soldier behind. As a nation, let it be our pledge that when they return home, we leave no veteran behind.",Dan Lipinski,home
108,62779,"People are going to behave however the social norms permit, and beyond that.",Max Cannon,society
109,49648,"Working on the 'Ice Age' movies, I'm really proud to be in them.",Seann William Scott,movies
110,74268,Men like women who write. Even though they don't say so. A writer is a foreign country.,Marguerite Duras,women
111,22760,There can be no rise in the value of labour without a fall of profits.,David Ricardo,finance
112,34309,"In a sense, words are encyclopedias of ignorance because they freeze perceptions at one moment in history and then insist we continue to use these frozen perceptions when we should be doing better.",Edward de Bono,history
113,38765,"The reason we are doing these types of pat downs and using the advanced imagery technology is trying to take the latest intelligence and how we know al Qaeda and affiliates want to hurt us, they want to bring down whether it is passenger air craft or cargo aircraft.",John Pistole,intelligence
114,34029,We don't want tradition. We want to live in the present and the only history that is worth a tinker's dam is the history we make today.,Henry Ford,history
115,42558,The great advantage of a hotel is that it is a refuge from home life.,George Bernard Shaw,life
116,29649,"I was walking along and this chair came flying past me, and another, and another, and I thought, man, is this gonna be a good night.",Liam Gallagher,good
117,68950,"There are a lot of things that are personally uncomfortable to show, especially me without makeup and completely bloated or crying. But I've realized that it's time for me to show my audience that you don't have to be perfect to achieve your dreams. Because nobody relates to being perfect.",Katy Perry,time
118,11776,Fashion should not be expected to serve in the stead of courage or character.,Loretta Young,courage
119,40623,"A lot of the problems I had with fame I was bringing on myself. A lot of self-loathing, a lot of woe-is-me. Now I'm learning to see the positive side of things, instead of, like, 'I can't go to Kmart. I can't take my kids to the haunted house.'",Eminem,learning
120,65510,The best augury of a man's success in his profession is that he thinks it the finest in the world.,George Eliot,success
121,23561,I don't categorize food as bad or a guilty pleasure.,Rachael Ray,food
122,37469,We are the miracle of force and matter making itself over into imagination and will. Incredible. The Life Force experimenting with forms. You for one. Me for another. The Universe has shouted itself alive. We are one of the shouts.,Ray Bradbury,imagination
123,19974,"There are many countries where you can only believe more or you can believe less. But in the United States we have this incredible smorgasbord, and it really interests me why people are drawn to one faith rather than another, especially to a system of belief that to an outsider seems absurd or dangerous.",Lawrence Wright,faith
124,23814,"My sisters like cooking at my place. It has a bit more room, and the food tastes a little bit better. A big pot of spaghetti and sauce, some warm French bread - works all the time. I think I've been eating pasta for 26 years.",Tom Brady,food
125,47394,It's morally wrong to allow a sucker to keep his money.,W. C. Fields,money
126,33204,"I agree with just about everyone in the reform debate when they say 'If you like what you have, you should be able to keep it.' But the truth is that none of the health reform bills making their way through Congress actually delivers on that promise.",Ron Wyden,health
127,61300,I'm convinced I got signed because of who I am. And it makes me sad.,Jeff Buckley,sad
128,27521,"The Marshall Plan was after destruction, and the U.S. came to our help and obviously this was very, very important for the future of Europe. I think now we have all the capabilities of doing it on our own and, in a sense, we have to.",George Papandreou,future
129,49378,"It's not like I sit around watching my movies again and again, but I've never quite believed actors when they say they don't watch themselves.",Kristen Stewart,movies
130,73705,Women are the largest untapped reservoir of talent in the world.,Hillary Clinton,women
131,57267,No science is immune to the infection of politics and the corruption of power.,Jacob Bronowski,power
132,61483,"Half of the modern drugs could well be thrown out of the window, except that the birds might eat them.",Martin Henry Fischer,science
133,15846,The great difficulty in education is to get experience out of ideas.,George Santayana,education
134,65735,"Success is just being happy. And I try so many different things. I do a lot of different things. Because I think God has helped me to love myself. I know who God is, and I love God.",Herschel Walker,success
135,75861,Ireland sober is Ireland stiff.,James Joyce,saintpatricksday
136,4818,"There is a single thread of attitude, a single direction of flow, that joins our present time to its early burgeoning in Mediterranean civilization.",Arthur Erickson,attitude
137,12786,"When I was younger it was - you know, my dad dressed up in drag on 'Bosom Buddies.' And that was what I was having to deal with at the time. And then around the time that I was into college was when he became statue-worthy I guess you could say.",Colin Hanks,dad
138,2854,"I think Chris Weitz is an amazing director, and his sensibility - I wouldn't even know how to articulate it - it's just, he's a very sensitive, interesting guy.",Elizabeth Reaser,amazing
139,68171,"All the world's a stage, and all the men and women merely players: they have their exits and their entrances and one man in his time plays many parts, his acts being seven ages.",William Shakespeare,time
140,24388,History does not long entrust the care of freedom to the weak or the timid.,Dwight D. Eisenhower,freedom
141,46830,"To this day, my mom's unsinkable spirit is an inspiration to me. For nearly thirty years, she's worked at the Library of Congress. Everyone knows Sameha simply as 'Sami.' Along with 500 miles of shelved books, her closest friendships are cataloged in that library. They are as much the value of work to my mom as is the work itself.",Hoda Kotb,mom
142,67049,"I go and see anything that's visually new, any technology that's about picture-making. The technology won't make the pictures different, but someone using it will.",David Hockney,technology
143,32263,"So long as you don't feel life's paltry and a miserable business, the rest doesn't matter, happiness or unhappiness.",David Herbert Lawrence,happiness
144,49669,"I think what's dangerous about being an actor who does action movies is you think, 'Well, I can totally handle myself now.' But if my opponent didn't know the other half of the routine, I don't know how well I'd do.",Kate Beckinsale,movies
145,32391,"It is not the possession of truth, but the success which attends the seeking after it, that enriches the seeker and brings happiness to him.",Max Planck,happiness
146,12293,Joanna points her camera at a section of society unused to having cameras pointed at it. But I don't know about categorizing them in terms of class I'm a bit wary of that. My dad is the son of a shipbuilder.,Tom Hiddleston,dad
147,60945,Of these years nought remains in memory but the sad feeling that we have advanced and only grown older.,Max Muller,sad
148,48739,"What I had said in the morning was that this is what we know has happened, but there has been no significant off-site release. Only to find out moments later that, in fact, there had been an off-site release. I still haven't gotten over that.",William Scranton,morning
149,3427,I have designed the most buildings of any living American architect.,Alexander Jackson Davis,architecture
150,59210,"If there ever was a militant religion, it was that of early New England.",Paul Harris,religion
151,35404,"I remember once acting really cool on a bus with this girl named Stephanie. When I got home, I realized that I had a really big zit on my forehead. If you have acne problems, you really shouldn't be acting like Don Juan.",John Cusack,home
152,54297,The fact that something is in a rhymed form or in blank verse will not make it good poetry.,Robert Morgan,poetry
153,15393,"There's a line I have that our family was designed more for public than for private. But there are definitely some things that are only mine. I am someone who dreams at night, and you don't know what I'm dreaming.",Carrie Fisher,dreams
154,31893,Never mind your happiness do your duty.,Peter Drucker,happiness
155,9158,"Perfection is immutable. But for things imperfect, change is the way to perfect them.",Owen Feltham,change
156,63606,"Life and human society are the chief concern of Confucianism and, through it, the chief concern of the Chinese people.",Hu Shih,society
157,42096,Your living is determined not so much by what life brings to you as by the attitude you bring to life not so much by what happens to you as by the way your mind looks at what happens.,Khalil Gibran,life
158,22680,"People may believe that there can be a society where dissent is not permitted, but which is nonetheless not a fear society because everyone agrees with one another and therefore no one wants to dissent.",Natan Sharansky,fear
159,70321,"I almost always do things that I like, in some form or fashion. Every once in awhile that means that I don't think the script is any good and I don't have any trust in the people, but the film is shooting in Sri Lanka, or somewhere like that, so I'm going.",Billy Campbell,trust
160,18740,"Our educational system is not preparing people for the 21st Century. Failure is an essential part of entrepreneurship. If you work hard, you can get an 'A' pretty much guaranteed, but in entrepreneurship, that's not how it works.",Eric Ries,failure
161,44332,"The only day I remember of my parents' marriage was the day my dad walked out. As I stood there at five years old, with my older sister and younger brother, I knew that he was gone.",Ellie Goulding,marriage
162,57875,I'm not a relationship expert. I'm an expert on manhood.,Steve Harvey,relationship
163,70932,"Mental fight means thinking against the current, not with it. It is our business to puncture gas bags and discover the seeds of truth.",Virginia Woolf,truth
164,42980,The only abnormality is the incapacity to love.,Anais Nin,love
165,16220,"One of the great mind destroyers of college education is the belief that if it's very complex, it's very profound.",Dennis Prager,education
166,1877,"I have always been very obsessed with time. Time's passage makes us all very vulnerable and because we all experience it in our own way, it can make us feel very alone.",John Barton,alone
167,55541,People are fed up with the politics where candidates just rip each other apart and then the voters lose in the end because no one really knows what anybody stands for.,Dennis Kucinich,politics
168,75896,"Christmas is more stressful with present buying and making sure everyone gets included, but Thanksgiving is really not that. I don't ever really get stressed out about the food.",Sandra Lee,thanksgiving
169,19768,"Sectarian divide has created a schism in our society that is a major challenge. As monarch of all Bahrainis, it pains me to see many harmed by the actions of a few. And yet I am optimistic and have faith in our people. We all realize that now is the time to strike a balance between stability and gradual reform.",Hamad bin Isa Al Khalifa,faith
170,25393,"If there is such a thing as a good marriage, it is because it resembles friendship rather than love.",Michel de Montaigne,friendship
171,74244,"I'm 18 in this album. I'm not losing fans, and I'm not disrepecting women, but you reach the maturity of taking it to the next level with a girl. It was only necessary for me to have at least one song like that.",Chris Brown,women
172,30174,"In the inner city, there's a mentality that the government owes you something. My breakthrough came when I stopped feeling sorry for myself and took responsibility for every part of my life. No more pity parties. I've gotta love me more than anybody else loves me.",Mary J. Blige,government
173,10169,"The mind, in proportion as it is cut off from free communication with nature, with revelation, with God, with itself, loses its life, just as the body droops when debarred from the air and the cheering light from heaven.",William Ellery Channing,communication
174,55191,"I think politics is important. It's how we run our society. I think it should be natural to have an interest in the subject, and I almost don't understand why some people don't.",Chester Brown,politics
175,29362,"Julia progresses from cradle to grave, showing how government makes every good thing in her life possible. The weak economy, high unemployment, falling wages, rising gas prices, the national debt, the insolvency of entitlements - all these are fictionally assumed away in a cartoon that is produced by a president who wants us to forget about them.",Mitt Romney,good
176,66004,How easy to be amiable in the midst of happiness and success.,William Ellery Channing,success
177,18604,"But I look at failure as education. In that respect, I am so well-educated.",Kathy Ireland,failure
178,49948,"I am so happy because I want more people to like martial arts movie not just martial arts audience. Even martial arts can be used in comedy, in drama, in horror movies, in different kinds of movies.",Jet Li,movies
179,57359,Information can bring you choices and choices bring power - educate yourself about your options and choices. Never remain in the dark of ignorance.,Joy Page,power
180,20539,"The real estate agent had to go door-to-door in the apartment building we wanted to rent, asking if it was OK for this interracial family - my mom is white and I was a 1-year-old half-African kid - to live in the apartment building.",Tom Morello,family
181,1256,"'The Christmas Song,' by Nat King Cole, is not only a masterful performance to me it just sounds like the holidays. I've never sung it, because Nat's version is so perfect. I gotta leave it alone.","Harry Connick, Jr.",alone
182,57756,"For me, it's about the way I carry myself and the way I treat other people. My relationship and how I feel about God and what He does for me, is something deeply personal. It's where I came from, my family, I was brought up in a religious household and that's very important to me.",Beyonce Knowles,relationship
183,6765,The game of history is usually played by the best and the worst over the heads of the majority in the middle.,Eric Hoffer,best
184,67203,I am told that there have been over the years a number of experiments taking place in places like Massachusetts Institute of Technology that have been entirely based on concepts raised by Star Trek.,Patrick Stewart,technology
185,74781,"Reform is not pleasant, but grievous no person can reform themselves without suffering and hard work, how much less a nation.",Thomas Carlyle,work
186,47027,My mom's passionate and energetic and very funny and enthusiastic.,Eric Stonestreet,mom
187,58512,Conversion is not my intention. Changing religion is not easy. You may develop some kind of confusion or difficulties.,Dalai Lama,religion
188,11702,"Time is neutral and does not change things. With courage and initiative, leaders change things.",Jesse Jackson,courage
189,63797,"You always get a special kick on opening day, no matter how many you go through. You look forward to it like a birthday party when you're a kid. You think something wonderful is going to happen.",Joe DiMaggio,sports
190,8394,"I know a man who doesn't pay to have his trash taken out. How does he get rid of his trash? He gift wraps it, and puts in into an unlocked car.",Henny Youngman,car
191,32450,"Happiness is not a state to arrive at, but a manner of traveling.",Margaret Lee Runbeck,happiness
192,7028,"If your sister is in a tearing hurry to go out and cannot catch your eye, she's wearing your best sweater.",Pam Brown,best
193,54735,There's not a good poet I know who has not at the beck and call of his memory a vast quantity of poetry that composes his mental library.,Anthony Hecht,poetry
194,69984,"I also don't trust Caribou anymore. They're out there, on the tundra, waiting... Something's going down. I'm right about this.",Joss Whedon,trust
195,52616,"To me, it seems a dreadful indignity to have a soul controlled by geography.",George Santayana,patriotism
196,49481,I'm not going to have a perfect career. It's better to be Billy Wilder and make lots of movies and have five or six great ones than to make so few movies that when you make a bad one it crushes you.,Jason Reitman,movies
197,16689,"If you can feed your family, give them an education, then you are a success.",Jami Gertz,education
198,48969,"Always get married in the morning. That way if it doesn't work out, you haven't wasted the whole day.",Mickey Rooney,morning
199,28205,"Be strong, believe in freedom and in God, love yourself, understand your sexuality, have a sense of humor, masturbate, don't judge people by their religion, color or sexual habits, love life and your family.",Madonna Ciccone,god
200,6495,Faith in oneself is the best and safest course.,Michelangelo,best
201,75683,"Besides the two Christmas things, we've got a about a dozen new tracks we're working on.",Chris Frantz,christmas
202,28414,"Light, God's eldest daughter, is a principal beauty in a building.",Thomas Fuller,god
203,18286,I will perform My Heart Will Go On for the rest of my life and it will always remain a very emotional experience for me.,Celine Dion,experience
204,20771,"I have a really, really, really normal family. And by normal I mean we're all nuts on some level. I think you've gotta be a little nuts to pursue any kind of creative job. I was also a really good kid. I know that sounds really dull, but I didn't rebel in the traditional sense.",Anna Paquin,family
205,49657,The reason I keep making movies is I hate the last thing I did. I'm trying to rectify my wrongs.,Joaquin Phoenix,movies
206,52208,"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.",Buddha,parenting
207,31553,I think that the good and the great are only separated by the willingness to sacrifice.,Kareem Abdul-Jabbar,great
208,31186,"A constant struggle, a ceaseless battle to bring success from inhospitable surroundings, is the price of all great achievements.",Orison Swett Marden,great
209,39790,"I have a great advantage over many of my colleagues inasmuch as my students bring with them to class their own personal knowledge of national, regional, religious, ethnic, occupational, and family folklore traditions.",Alan Dundes,knowledge
210,1880,"After I lost my fiance, it seemed like it would be better to always be alone than to risk being hurt again.",Nancy Grace,alone
211,6521,The best time for you to hold your tongue is the time you feel you must say something or bust.,Josh Billings,best
212,30277,"Public confidence in the integrity of the Government is indispensable to faith in democracy and when we lose faith in the system, we have lost faith in everything we fight and spend for.",Adlai E. Stevenson,government
213,72477,"Well, I've been reading a lot about the fifty years since the Second World War, about Western foreign policy and all that. I try not to let it get to me, but sometimes I just think that there's no hope.",Thom Yorke,war
214,29529,"Under all speech that is good for anything there lies a silence that is better, Silence is deep as Eternity speech is shallow as Time.",Thomas Carlyle,good
215,48424,"Sometimes I wish that there were a way to let people know that just because I live in a world without rules, and in a life that is lawless, doesn't mean that it doesn't hurt so bad the morning after.",Elizabeth Wurtzel,morning
216,68925,I like somebody who's not so crazy but likes to have a good time... and who is thoughtful and kind and easy to laugh with. Somebody you can just be yourself with one hundred and fifty percent.,Kate Bosworth,time
217,27994,"Next to the Word of God, the noble art of music is the greatest treasure in the world.",Martin Luther,god
218,26117,Literature has drawn a funny perimeter that other art forms haven't.,Jonathan Safran Foer,funny
219,27868,"If God is just, I tremble for my country.",Thomas Jefferson,god
220,54752,The older I've got the less I find myself going back and re-reading or really reading new fiction or poetry.,Reynolds Price,poetry
221,15733,I've succeeded beyond my wildest dreams - financially and the amount of fun I have in my life.,Phil Hartman,dreams
222,15512,My mother was really my partner in every project that I had. She was just the great enabler of my dreams.,Diane Keaton,dreams
223,28122,I'm trying to make God more relevant in our society.,Joel Osteen,god
224,51639,"For an Impressionist to paint from nature is not to paint the subject, but to realize sensations.",Paul Cezanne,nature
